Posisi X;Posisi Y;Type Minutiae;Nama Class
21;153;0;Tented arch
21;174;0;Tented arch
22;57;0;Tented arch
23;26;0;Tented arch
23;27;0;Tented arch
23;97;0;Tented arch
23;117;0;Tented arch
23;125;0;Tented arch
23;143;0;Tented arch
24;90;0;Tented arch
25;66;0;Tented arch
25;126;1;Tented arch
26;126;1;Tented arch
26;127;1;Tented arch
26;168;0;Tented arch
27;81;1;Tented arch
27;84;0;Tented arch
27;106;0;Tented arch
27;127;1;Tented arch
28;16;0;Tented arch
28;82;1;Tented arch
28;106;1;Tented arch
28;135;0;Tented arch
29;105;1;Tented arch
29;106;1;Tented arch
29;117;1;Tented arch
30;15;0;Tented arch
30;30;1;Tented arch
30;31;1;Tented arch
30;62;1;Tented arch
30;104;1;Tented arch
30;105;1;Tented arch
30;116;1;Tented arch
30;117;1;Tented arch
31;28;1;Tented arch
31;29;1;Tented arch
31;30;1;Tented arch
31;62;1;Tented arch
31;63;1;Tented arch
31;98;0;Tented arch
31;104;1;Tented arch
31;115;1;Tented arch
31;116;1;Tented arch
31;137;1;Tented arch
31;138;1;Tented arch
31;168;0;Tented arch
32;27;1;Tented arch
32;28;1;Tented arch
32;63;1;Tented arch
32;64;1;Tented arch
32;103;0;Tented arch
32;138;1;Tented arch
32;139;1;Tented arch
33;25;1;Tented arch
33;26;1;Tented arch
33;27;1;Tented arch
33;64;1;Tented arch
33;112;1;Tented arch
33;113;1;Tented arch
34;24;1;Tented arch
34;25;1;Tented arch
34;65;1;Tented arch
34;111;1;Tented arch
34;112;1;Tented arch
34;141;1;Tented arch
34;142;1;Tented arch
35;66;1;Tented arch
35;88;1;Tented arch
35;89;1;Tented arch
35;111;1;Tented arch
35;142;1;Tented arch
35;143;1;Tented arch
35;158;1;Tented arch
35;159;1;Tented arch
35;162;1;Tented arch
36;34;0;Tented arch
36;78;0;Tented arch
36;87;1;Tented arch
36;88;1;Tented arch
36;109;1;Tented arch
36;110;1;Tented arch
36;125;1;Tented arch
36;157;1;Tented arch
36;158;1;Tented arch
36;163;1;Tented arch
37;20;1;Tented arch
37;21;1;Tented arch
37;56;0;Tented arch
37;108;1;Tented arch
37;109;1;Tented arch
37;124;1;Tented arch
37;163;0;Tented arch
38;19;1;Tented arch
38;20;1;Tented arch
38;107;1;Tented arch
38;108;1;Tented arch
38;123;0;Tented arch
39;19;1;Tented arch
39;67;1;Tented arch
39;106;1;Tented arch
39;107;1;Tented arch
40;67;1;Tented arch
40;68;1;Tented arch
40;69;1;Tented arch
40;71;1;Tented arch
40;72;1;Tented arch
40;106;1;Tented arch
40;117;0;Tented arch
40;134;0;Tented arch
41;68;1;Tented arch
41;72;1;Tented arch
41;73;1;Tented arch
41;113;0;Tented arch
42;30;0;Tented arch
43;87;0;Tented arch
43;110;0;Tented arch
44;83;0;Tented arch
44;96;1;Tented arch
44;97;1;Tented arch
44;99;1;Tented arch
44;100;1;Tented arch
44;176;0;Tented arch
45;28;0;Tented arch
45;37;0;Tented arch
45;92;0;Tented arch
45;97;1;Tented arch
45;98;1;Tented arch
45;99;1;Tented arch
45;110;0;Tented arch
46;17;0;Tented arch
46;27;1;Tented arch
46;70;1;Tented arch
46;80;0;Tented arch
46;97;1;Tented arch
46;99;1;Tented arch
47;26;1;Tented arch
47;27;1;Tented arch
47;70;1;Tented arch
47;71;1;Tented arch
47;99;0;Tented arch
48;26;1;Tented arch
48;71;1;Tented arch
48;72;1;Tented arch
49;72;1;Tented arch
49;97;0;Tented arch
49;118;0;Tented arch
49;151;1;Tented arch
49;152;1;Tented arch
50;72;1;Tented arch
50;73;1;Tented arch
50;150;1;Tented arch
50;151;1;Tented arch
50;159;0;Tented arch
51;73;1;Tented arch
51;149;1;Tented arch
52;84;0;Tented arch
52;89;0;Tented arch
52;148;1;Tented arch
53;108;0;Tented arch
