Posisi X;Posisi Y;Type Minutiae;Nama Class
24;87;0;Plain whorl
24;123;0;Plain whorl
25;51;0;Plain whorl
25;95;0;Plain whorl
25;107;0;Plain whorl
25;116;0;Plain whorl
25;137;0;Plain whorl
25;159;0;Plain whorl
26;82;1;Plain whorl
26;83;1;Plain whorl
27;80;1;Plain whorl
27;81;1;Plain whorl
27;82;1;Plain whorl
27;122;0;Plain whorl
27;149;0;Plain whorl
28;48;0;Plain whorl
28;57;0;Plain whorl
28;78;1;Plain whorl
28;79;1;Plain whorl
28;80;1;Plain whorl
28;115;0;Plain whorl
29;65;0;Plain whorl
29;76;1;Plain whorl
29;77;1;Plain whorl
29;78;1;Plain whorl
29;96;0;Plain whorl
30;75;1;Plain whorl
30;76;1;Plain whorl
30;91;0;Plain whorl
31;74;1;Plain whorl
31;75;1;Plain whorl
31;105;0;Plain whorl
32;53;1;Plain whorl
32;54;1;Plain whorl
32;73;1;Plain whorl
32;74;1;Plain whorl
32;160;1;Plain whorl
33;52;1;Plain whorl
33;53;1;Plain whorl
33;72;1;Plain whorl
33;73;1;Plain whorl
33;160;1;Plain whorl
33;161;1;Plain whorl
34;50;1;Plain whorl
34;51;1;Plain whorl
34;52;1;Plain whorl
34;71;1;Plain whorl
34;72;1;Plain whorl
34;138;0;Plain whorl
34;161;1;Plain whorl
35;49;1;Plain whorl
35;50;1;Plain whorl
35;71;1;Plain whorl
36;48;1;Plain whorl
36;49;1;Plain whorl
37;47;1;Plain whorl
37;48;1;Plain whorl
37;119;1;Plain whorl
37;120;1;Plain whorl
37;121;0;Plain whorl
38;46;1;Plain whorl
38;47;1;Plain whorl
38;68;0;Plain whorl
38;118;1;Plain whorl
38;119;1;Plain whorl
39;45;1;Plain whorl
39;46;1;Plain whorl
39;115;0;Plain whorl
40;44;1;Plain whorl
40;45;1;Plain whorl
40;76;0;Plain whorl
40;108;0;Plain whorl
41;43;1;Plain whorl
41;44;1;Plain whorl
42;42;1;Plain whorl
42;43;1;Plain whorl
42;128;0;Plain whorl
42;163;1;Plain whorl
43;42;1;Plain whorl
43;163;1;Plain whorl
43;164;1;Plain whorl
44;89;1;Plain whorl
44;164;1;Plain whorl
45;89;1;Plain whorl
45;90;1;Plain whorl
45;113;0;Plain whorl
46;41;1;Plain whorl
46;61;1;Plain whorl
46;90;1;Plain whorl
46;111;0;Plain whorl
47;40;1;Plain whorl
47;41;1;Plain whorl
47;60;1;Plain whorl
47;61;1;Plain whorl
47;91;0;Plain whorl
48;40;1;Plain whorl
48;60;1;Plain whorl
49;76;0;Plain whorl
50;71;1;Plain whorl
50;72;1;Plain whorl
50;98;0;Plain whorl
51;70;1;Plain whorl
51;71;1;Plain whorl
51;96;0;Plain whorl
51;120;0;Plain whorl
52;58;1;Plain whorl
52;69;1;Plain whorl
52;70;1;Plain whorl
53;57;1;Plain whorl
53;58;1;Plain whorl
53;68;1;Plain whorl
