Posisi X;Posisi Y;Type Minutiae;Nama Class
20;108;1;Plain whorl
20;109;1;Plain whorl
21;107;1;Plain whorl
21;109;1;Plain whorl
21;110;1;Plain whorl
22;107;1;Plain whorl
23;106;1;Plain whorl
23;107;1;Plain whorl
24;105;1;Plain whorl
24;106;1;Plain whorl
25;105;1;Plain whorl
26;132;0;Plain whorl
27;142;0;Plain whorl
28;103;0;Plain whorl
28;131;1;Plain whorl
28;149;0;Plain whorl
29;108;1;Plain whorl
29;130;1;Plain whorl
30;107;1;Plain whorl
30;108;1;Plain whorl
30;120;0;Plain whorl
31;107;1;Plain whorl
31;126;1;Plain whorl
31;127;1;Plain whorl
32;125;1;Plain whorl
32;126;1;Plain whorl
35;123;0;Plain whorl
36;106;0;Plain whorl
36;116;1;Plain whorl
36;178;0;Plain whorl
37;91;0;Plain whorl
37;115;1;Plain whorl
37;116;1;Plain whorl
38;86;0;Plain whorl
38;115;1;Plain whorl
39;114;0;Plain whorl
40;182;0;Plain whorl
45;62;0;Plain whorl
45;97;0;Plain whorl
45;187;0;Plain whorl
46;62;1;Plain whorl
46;104;0;Plain whorl
46;114;0;Plain whorl
47;61;1;Plain whorl
47;62;1;Plain whorl
47;95;0;Plain whorl
48;61;1;Plain whorl
48;87;0;Plain whorl
48;189;0;Plain whorl
50;60;0;Plain whorl
51;79;0;Plain whorl
51;85;0;Plain whorl
52;78;0;Plain whorl
53;64;0;Plain whorl
56;142;0;Plain whorl
57;112;1;Plain whorl
57;141;0;Plain whorl
58;99;0;Plain whorl
58;111;1;Plain whorl
58;112;1;Plain whorl
59;111;1;Plain whorl
60;61;0;Plain whorl
61;71;0;Plain whorl
61;125;0;Plain whorl
62;65;0;Plain whorl
62;109;0;Plain whorl
62;124;0;Plain whorl
63;65;1;Plain whorl
63;119;0;Plain whorl
64;64;1;Plain whorl
64;65;1;Plain whorl
64;84;0;Plain whorl
65;64;1;Plain whorl
65;83;1;Plain whorl
65;93;0;Plain whorl
66;64;1;Plain whorl
66;82;1;Plain whorl
66;83;1;Plain whorl
66;117;0;Plain whorl
67;63;1;Plain whorl
67;64;1;Plain whorl
67;82;1;Plain whorl
67;93;0;Plain whorl
68;63;1;Plain whorl
69;62;1;Plain whorl
69;63;1;Plain whorl
69;68;1;Plain whorl
69;81;0;Plain whorl
70;62;1;Plain whorl
70;67;1;Plain whorl
70;68;1;Plain whorl
71;61;1;Plain whorl
71;62;1;Plain whorl
71;67;1;Plain whorl
72;61;1;Plain whorl
75;93;0;Plain whorl
75;111;0;Plain whorl
75;149;0;Plain whorl
75;150;0;Plain whorl
77;59;1;Plain whorl
77;74;0;Plain whorl
78;58;1;Plain whorl
78;59;1;Plain whorl
78;64;1;Plain whorl
78;74;0;Plain whorl
79;58;1;Plain whorl
79;63;1;Plain whorl
79;64;1;Plain whorl
79;99;0;Plain whorl
80;63;1;Plain whorl
80;68;0;Plain whorl
80;73;0;Plain whorl
80;91;0;Plain whorl
80;99;0;Plain whorl
81;68;0;Plain whorl
81;73;0;Plain whorl
82;63;1;Plain whorl
83;62;1;Plain whorl
83;63;1;Plain whorl
83;72;0;Plain whorl
83;101;0;Plain whorl
84;62;1;Plain whorl
84;72;0;Plain whorl
85;57;0;Plain whorl
85;62;0;Plain whorl
85;146;0;Plain whorl
86;88;0;Plain whorl
86;101;0;Plain whorl
87;66;0;Plain whorl
87;107;1;Plain whorl
88;106;1;Plain whorl
88;107;1;Plain whorl
88;163;0;Plain whorl
89;94;0;Plain whorl
89;106;1;Plain whorl
89;156;0;Plain whorl
89;163;0;Plain whorl
90;155;0;Plain whorl
91;59;0;Plain whorl
91;100;0;Plain whorl
91;106;0;Plain whorl
91;146;0;Plain whorl
93;70;0;Plain whorl
93;93;0;Plain whorl
