Posisi X;Posisi Y;Type Minutiae;Nama Class
21;90;0;Ulnair loop
21;106;0;Ulnair loop
22;144;0;Ulnair loop
23;96;1;Ulnair loop
23;97;1;Ulnair loop
23;155;0;Ulnair loop
23;162;0;Ulnair loop
24;51;0;Ulnair loop
24;95;1;Ulnair loop
24;96;1;Ulnair loop
24;155;1;Ulnair loop
25;129;0;Ulnair loop
25;138;0;Ulnair loop
25;148;1;Ulnair loop
25;155;1;Ulnair loop
25;156;1;Ulnair loop
26;46;1;Ulnair loop
26;47;1;Ulnair loop
26;93;1;Ulnair loop
26;127;1;Ulnair loop
26;128;1;Ulnair loop
26;149;1;Ulnair loop
26;156;1;Ulnair loop
26;166;1;Ulnair loop
27;45;1;Ulnair loop
27;46;1;Ulnair loop
27;92;1;Ulnair loop
27;93;1;Ulnair loop
27;112;0;Ulnair loop
27;126;1;Ulnair loop
27;127;1;Ulnair loop
27;166;1;Ulnair loop
27;167;1;Ulnair loop
28;92;1;Ulnair loop
28;157;0;Ulnair loop
28;167;1;Ulnair loop
29;91;0;Ulnair loop
29;167;1;Ulnair loop
29;168;1;Ulnair loop
30;38;1;Ulnair loop
30;39;1;Ulnair loop
30;102;1;Ulnair loop
30;103;1;Ulnair loop
30;118;0;Ulnair loop
30;138;0;Ulnair loop
30;168;1;Ulnair loop
31;33;1;Ulnair loop
31;34;1;Ulnair loop
31;37;1;Ulnair loop
31;38;1;Ulnair loop
31;100;0;Ulnair loop
31;101;1;Ulnair loop
31;102;1;Ulnair loop
31;145;0;Ulnair loop
31;169;1;Ulnair loop
32;32;1;Ulnair loop
32;33;1;Ulnair loop
32;52;0;Ulnair loop
32;81;1;Ulnair loop
32;146;1;Ulnair loop
32;169;1;Ulnair loop
32;170;1;Ulnair loop
33;31;1;Ulnair loop
33;32;1;Ulnair loop
33;50;1;Ulnair loop
33;51;1;Ulnair loop
33;65;0;Ulnair loop
33;80;1;Ulnair loop
33;81;1;Ulnair loop
33;146;1;Ulnair loop
33;147;1;Ulnair loop
33;170;1;Ulnair loop
34;30;1;Ulnair loop
34;31;1;Ulnair loop
