Posisi X;Posisi Y;Type Minutiae;Nama Class
18;117;0;Leteral pocket loop
23;139;0;Leteral pocket loop
25;111;1;Leteral pocket loop
25;117;0;Leteral pocket loop
25;151;1;Leteral pocket loop
25;152;1;Leteral pocket loop
26;109;1;Leteral pocket loop
26;110;1;Leteral pocket loop
26;111;1;Leteral pocket loop
26;152;1;Leteral pocket loop
26;153;1;Leteral pocket loop
26;154;1;Leteral pocket loop
27;108;1;Leteral pocket loop
27;109;1;Leteral pocket loop
27;154;1;Leteral pocket loop
27;155;1;Leteral pocket loop
27;159;0;Leteral pocket loop
27;160;1;Leteral pocket loop
27;161;1;Leteral pocket loop
28;106;1;Leteral pocket loop
28;107;1;Leteral pocket loop
28;161;1;Leteral pocket loop
28;162;1;Leteral pocket loop
29;104;0;Leteral pocket loop
29;105;1;Leteral pocket loop
29;106;1;Leteral pocket loop
29;127;0;Leteral pocket loop
30;96;0;Leteral pocket loop
30;97;0;Leteral pocket loop
31;122;0;Leteral pocket loop
31;166;1;Leteral pocket loop
31;167;1;Leteral pocket loop
32;157;1;Leteral pocket loop
32;167;1;Leteral pocket loop
32;168;1;Leteral pocket loop
33;157;1;Leteral pocket loop
33;158;1;Leteral pocket loop
33;168;1;Leteral pocket loop
33;169;1;Leteral pocket loop
34;133;0;Leteral pocket loop
34;134;0;Leteral pocket loop
34;158;1;Leteral pocket loop
34;169;1;Leteral pocket loop
35;159;1;Leteral pocket loop
35;169;1;Leteral pocket loop
35;170;1;Leteral pocket loop
36;159;1;Leteral pocket loop
36;160;1;Leteral pocket loop
36;170;1;Leteral pocket loop
37;55;0;Leteral pocket loop
37;147;0;Leteral pocket loop
37;160;1;Leteral pocket loop
37;161;1;Leteral pocket loop
38;53;1;Leteral pocket loop
38;162;1;Leteral pocket loop
39;52;1;Leteral pocket loop
39;162;1;Leteral pocket loop
39;163;1;Leteral pocket loop
40;150;0;Leteral pocket loop
40;163;1;Leteral pocket loop
41;133;0;Leteral pocket loop
42;42;0;Leteral pocket loop
43;135;0;Leteral pocket loop
44;154;0;Leteral pocket loop
45;51;0;Leteral pocket loop
45;174;1;Leteral pocket loop
46;166;0;Leteral pocket loop
46;174;1;Leteral pocket loop
46;175;1;Leteral pocket loop
47;175;1;Leteral pocket loop
48;158;0;Leteral pocket loop
48;175;1;Leteral pocket loop
48;176;1;Leteral pocket loop
49;36;0;Leteral pocket loop
49;176;1;Leteral pocket loop
53;178;1;Leteral pocket loop
54;178;1;Leteral pocket loop
54;179;1;Leteral pocket loop
55;163;0;Leteral pocket loop
55;171;0;Leteral pocket loop
55;179;1;Leteral pocket loop
56;65;0;Leteral pocket loop
56;179;1;Leteral pocket loop
57;34;0;Leteral pocket loop
57;172;0;Leteral pocket loop
57;179;1;Leteral pocket loop
57;180;1;Leteral pocket loop
58;145;0;Leteral pocket loop
58;153;0;Leteral pocket loop
58;180;1;Leteral pocket loop
59;60;0;Leteral pocket loop
