Posisi X;Posisi Y;Type Minutiae;Nama Class
26;116;0;Radial loop
27;108;0;Radial loop
29;117;1;Radial loop
30;118;1;Radial loop
31;129;1;Radial loop
32;128;1;Radial loop
32;129;1;Radial loop
33;129;1;Radial loop
34;107;1;Radial loop
35;106;1;Radial loop
35;107;1;Radial loop
36;105;1;Radial loop
36;106;1;Radial loop
36;146;0;Radial loop
37;103;1;Radial loop
37;104;1;Radial loop
37;105;1;Radial loop
38;102;1;Radial loop
38;103;1;Radial loop
39;89;1;Radial loop
39;90;1;Radial loop
39;98;1;Radial loop
39;99;1;Radial loop
39;163;1;Radial loop
40;86;1;Radial loop
40;87;1;Radial loop
40;88;1;Radial loop
40;89;1;Radial loop
40;97;1;Radial loop
40;98;1;Radial loop
40;114;0;Radial loop
40;163;1;Radial loop
40;164;1;Radial loop
41;84;1;Radial loop
41;85;1;Radial loop
41;86;1;Radial loop
41;94;1;Radial loop
41;164;1;Radial loop
41;165;1;Radial loop
42;82;1;Radial loop
42;83;1;Radial loop
42;84;1;Radial loop
42;114;1;Radial loop
42;165;1;Radial loop
43;81;1;Radial loop
43;82;1;Radial loop
43;112;0;Radial loop
43;113;1;Radial loop
43;114;1;Radial loop
43;115;1;Radial loop
43;148;0;Radial loop
44;122;1;Radial loop
44;123;1;Radial loop
45;123;1;Radial loop
45;124;1;Radial loop
45;125;0;Radial loop
45;153;1;Radial loop
45;154;1;Radial loop
46;154;1;Radial loop
46;155;1;Radial loop
47;70;1;Radial loop
47;71;1;Radial loop
47;157;0;Radial loop
48;68;1;Radial loop
48;69;1;Radial loop
48;70;1;Radial loop
49;67;1;Radial loop
49;68;1;Radial loop
49;145;1;Radial loop
49;146;1;Radial loop
50;90;1;Radial loop
50;146;1;Radial loop
50;147;1;Radial loop
51;64;1;Radial loop
51;65;1;Radial loop
51;87;1;Radial loop
52;63;1;Radial loop
52;64;1;Radial loop
52;86;1;Radial loop
52;128;1;Radial loop
52;129;1;Radial loop
52;149;1;Radial loop
52;150;1;Radial loop
53;62;1;Radial loop
53;63;1;Radial loop
53;127;1;Radial loop
53;128;1;Radial loop
53;150;1;Radial loop
53;151;1;Radial loop
54;61;1;Radial loop
54;62;1;Radial loop
54;85;1;Radial loop
54;151;1;Radial loop
55;84;1;Radial loop
56;59;1;Radial loop
56;73;1;Radial loop
56;74;1;Radial loop
56;141;0;Radial loop
57;58;1;Radial loop
57;59;1;Radial loop
57;72;1;Radial loop
57;73;1;Radial loop
57;168;1;Radial loop
58;57;1;Radial loop
58;58;1;Radial loop
58;168;1;Radial loop
58;169;1;Radial loop
59;57;1;Radial loop
59;69;1;Radial loop
59;70;1;Radial loop
59;169;1;Radial loop
60;56;1;Radial loop
60;68;1;Radial loop
60;69;1;Radial loop
61;55;1;Radial loop
61;56;1;Radial loop
61;67;1;Radial loop
61;68;1;Radial loop
62;55;1;Radial loop
62;66;1;Radial loop
62;67;1;Radial loop
63;93;1;Radial loop
63;94;1;Radial loop
63;155;1;Radial loop
64;92;1;Radial loop
64;93;1;Radial loop
64;155;1;Radial loop
64;156;1;Radial loop
65;90;1;Radial loop
65;91;1;Radial loop
65;156;1;Radial loop
66;89;1;Radial loop
66;90;1;Radial loop
66;157;0;Radial loop
69;62;0;Radial loop
69;85;1;Radial loop
69;102;0;Radial loop
69;133;1;Radial loop
69;134;1;Radial loop
70;84;1;Radial loop
70;134;1;Radial loop
70;135;1;Radial loop
71;109;1;Radial loop
71;110;1;Radial loop
71;136;1;Radial loop
71;137;1;Radial loop
71;142;1;Radial loop
72;110;1;Radial loop
72;111;1;Radial loop
72;137;1;Radial loop
72;138;1;Radial loop
72;141;1;Radial loop
72;142;1;Radial loop
73;61;0;Radial loop
73;142;1;Radial loop
74;72;0;Radial loop
74;154;0;Radial loop
76;116;1;Radial loop
76;117;1;Radial loop
77;117;1;Radial loop
77;118;1;Radial loop
77;175;1;Radial loop
78;133;0;Radial loop
78;175;1;Radial loop
78;176;1;Radial loop
79;155;1;Radial loop
79;176;1;Radial loop
80;155;1;Radial loop
80;156;1;Radial loop
81;156;1;Radial loop
82;72;0;Radial loop
82;112;0;Radial loop
85;114;1;Radial loop
85;157;1;Radial loop
86;80;0;Radial loop
