Posisi X;Posisi Y;Type Minutiae;Nama Class
20;131;0;Twinted loop
21;38;0;Twinted loop
21;132;1;Twinted loop
21;140;0;Twinted loop
21;151;0;Twinted loop
22;132;1;Twinted loop
22;133;1;Twinted loop
23;133;1;Twinted loop
25;151;1;Twinted loop
26;97;1;Twinted loop
26;98;1;Twinted loop
26;151;1;Twinted loop
26;152;1;Twinted loop
27;36;0;Twinted loop
27;49;0;Twinted loop
27;88;0;Twinted loop
27;98;1;Twinted loop
27;99;1;Twinted loop
27;135;1;Twinted loop
27;152;1;Twinted loop
27;153;1;Twinted loop
28;111;0;Twinted loop
28;135;1;Twinted loop
28;136;1;Twinted loop
28;153;1;Twinted loop
29;129;0;Twinted loop
29;136;1;Twinted loop
29;153;1;Twinted loop
29;154;1;Twinted loop
30;55;0;Twinted loop
30;60;0;Twinted loop
30;114;0;Twinted loop
30;154;1;Twinted loop
32;120;0;Twinted loop
32;131;0;Twinted loop
32;147;1;Twinted loop
33;147;1;Twinted loop
33;148;1;Twinted loop
34;148;1;Twinted loop
34;149;1;Twinted loop
35;33;0;Twinted loop
35;43;0;Twinted loop
35;52;0;Twinted loop
35;149;1;Twinted loop
35;150;1;Twinted loop
36;150;1;Twinted loop
38;33;0;Twinted loop
38;44;0;Twinted loop
38;118;0;Twinted loop
38;119;0;Twinted loop
38;138;0;Twinted loop
39;121;0;Twinted loop
39;154;1;Twinted loop
42;131;1;Twinted loop
42;132;1;Twinted loop
42;145;0;Twinted loop
43;132;1;Twinted loop
43;133;1;Twinted loop
44;133;1;Twinted loop
44;134;1;Twinted loop
45;75;0;Twinted loop
45;134;1;Twinted loop
45;135;1;Twinted loop
46;76;1;Twinted loop
46;77;1;Twinted loop
46;135;1;Twinted loop
47;77;1;Twinted loop
47;78;1;Twinted loop
47;136;0;Twinted loop
47;148;0;Twinted loop
49;83;1;Twinted loop
49;84;1;Twinted loop
49;85;1;Twinted loop
50;84;1;Twinted loop
50;95;1;Twinted loop
50;96;1;Twinted loop
51;96;1;Twinted loop
51;97;1;Twinted loop
